"","SRR33482787","SRR33482788","SRR33482795","SRR33482806","SRR33482817","SRR33482818"
"AT1G75580",62.4257253469939,65.131399569177,45.8560343244602,78.5181055040963,49.7350329231557,61.4655833765646
"AT1G59970",23.6461080859825,24.9670365015178,21.0173490653776,28.823102020491,31.2062951674702,47.3587281753859
"AT1G30640",190.1147090113,226.874375165966,257.940193075089,109.329007663932,114.098016706063,138.045654468678
"AT1G26440",69.046635611069,97.6970993537655,86.9353984067892,98.3961068975384,91.6684920544438,124.946431781869
"AT1G22070",100.259498284566,153.058788987566,149.987445602922,134.176509405734,164.808246353202,146.106714583637
"AT1G26700",5.67506594063581,10.8552332615295,10.5086745326888,55.6584039016379,21.4543279276358,30.2289754310974
"AT1G78180",218.490038714479,216.019141904437,161.451454184037,163.993511495897,221.369656344242,175.328057500365
"AT1G29880",1052.72473198794,914.010640620784,821.587281646579,639.077744799163,887.429018824935,952.212726079567
"AT1G53645",192.006397658178,181.282395467543,170.049460619873,190.828813377044,255.501541683662,228.73258076197
"AT1G06240",64.3174139938725,97.6970993537655,40.1240300339027,52.6767036926216,70.214164126808,67.5113784627841
"AT1G72330",226.056793301993,219.275711882896,189.156141588398,173.932512192618,170.659426697103,186.412015158434
"AT1G20840",506.972557363466,601.379922688734,384.999621515781,643.053345077852,1053.21246190212,1281.70855827853
"AT1G45050",331.045513203756,410.327817285815,348.696927675583,244.499417139338,318.889328742586,290.198164138535
"AT1G52500",70.9383242579476,57.5327362861063,69.7393855351166,74.5425052254079,75.0901477467252,53.4045232616053
"AT1G10430",118.230540429913,105.295762636836,141.389439167086,238.536016721305,169.684229973119,201.526502873982
"AT1G05670",40.67130590789,53.1906429814945,55.4093748087228,67.5852047377031,45.8342460272219,37.2824030316867
"AT1G64110",62.4257253469939,52.1051196553416,55.4093748087228,14.9085010450816,8.776770515851,7.05342760058938
"AT1G65220",677.22453558254,616.577249254875,605.681786702246,515.834136159822,572.440476978282,478.625444325708
"AT1G13635",18.916886468786,13.0262799138354,15.2853447748201,16.8963011844258,27.3055082715364,13.0992226868089
"AT1G54950",0,0,0,52.6767036926216,31.2062951674702,42.3205656035363
"AT1G55730",214.706661420721,234.473038449037,204.441486363219,190.828813377044,214.543279276358,192.457810244653
"AT1G07310",359.420842906935,461.347413615004,238.833512106564,137.15820961475,278.906263059265,316.396609512152
"AT1G77230",22.7002637625432,40.1643630676591,28.6600214527876,35.7804025081958,27.3055082715364,33.2518729742071
"AT1G52400",810.588585187481,757.695281654759,819.676613549727,549.626738528674,478.821591475871,443.358306322761
"AT1G16430",97.4219653142481,61.8748295907181,109.863415569019,152.066710659832,93.6188855024107,73.5571735490036
"AT1G27752",233.623547889508,265.953214907473,281.823544285745,232.572616303272,259.402328579596,254.931026135588
"AT1G11190",30.2670183500577,8.6841866092236,32.4813576464927,41.7438029262284,21.4543279276358,22.1679153161381
"AT1G26650",107.82625287208,103.12471598453,109.863415569019,136.164309545078,117.998803601997,119.90826921002
"AT1G34640",85.1259891095371,111.808902593754,176.736798958857,84.4815059221289,84.8421149865597,106.809046523211
"AT1G50310",0.945844323439302,2.1710466523059,1.91066809685251,1.98780013934421,3.90078689593378,5.03816257184956
"AT1G49430",450.221897957108,375.591070848921,548.36174379667,348.858924454909,413.483410968981,416.152228434774
"AT1G74240",37.8337729375721,20.624943196906,32.4813576464927,25.8414018114747,22.4295246516192,19.1450177730283
